t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
315.0,7887.43499482235,2.9081507728723157e-06,1.0523506559972934e-05,92113.56499174595,5e-06,0.2255806408519192,4.150173695468655e-07,7.234205902667453e-07
316.0,7887.434994428549,2.6156662078864718e-06,9.464068525265221e-06,92113.56499349166,5e-06,0.2255806408406565,3.732361263792335e-07,6.506632357926547e-07
317.0,7887.434994074348,2.352661080707205e-06,8.511102197719526e-06,92113.56499506184,5e-06,0.2255806408305263,3.356538265621804e-07,5.852390748027874e-07
318.0,7887.43499375536,2.115567815572434e-06,7.653109231607401e-06,92113.5649964759,5e-06,0.22558064082140328,3.01817007822062e-07,5.262606506399091e-07
319.0,7887.434993469371,1.9029199799605165e-06,6.88395440839379e-06,92113.5649977437,5e-06,0.22558064081322401,2.7148371447106463e-07,4.733631790946559e-07
320.0,7887.434993211828,1.7112624980750454e-06,6.191468923066041e-06,92113.56499888538,5e-06,0.2255806408058583,2.441740432158733e-07,4.25687188575882e-07
321.0,7887.434992980221,1.53889839674403e-06,5.5687230513779245e-06,92113.5649999121,5e-06,0.22558064079923432,2.1961470530826918e-07,3.8281054645373887e-07
322.0,7887.434992771956,1.3840011239752415e-06,5.008645577745059e-06,92113.56500083534,5e-06,0.22558064079327791,1.9752683198149444e-07,3.4427888656100537e-07
323.0,7887.434992584584,1.2448151164572048e-06,4.504580092153987e-06,92113.56500166596,5e-06,0.2255806407879191,1.7764791322877625e-07,3.096555016062699e-07
324.0,7887.434992416115,1.1197099462386413e-06,4.051334865240111e-06,92113.56500241278,5e-06,0.2255806407831009,1.5977320191045141e-07,2.785348124971745e-07
325.0,7887.434992264535,1.0071091545308898e-06,3.643560547958865e-06,92113.56500308473,5e-06,0.2255806407787657,1.4369173481202648e-07,2.5052466530619154e-07
326.0,7887.434992128261,9.058307289649049e-07,3.2770088159146444e-06,92113.56500368884,5e-06,0.22558064077486825,1.2923597002078985e-07,2.253310271056978e-07
327.0,7887.434992004955,8.141463283329384e-07,2.9453808276292347e-06,92113.56500423545,5e-06,0.2255806407713417,1.1615749902311672e-07,2.0252396227187525e-07
328.0,7887.43499189542,7.326558060146081e-07,2.650839276128734e-06,92113.56500472102,5e-06,0.22558064076820902,1.0454161232214253e-07,1.8225268806333537e-07
329.0,7887.4349917960935,6.587978564808069e-07,2.38370812583905e-06,92113.56500516133,5e-06,0.22558064076536827,9.400671440985805e-08,1.6388006380119579e-07
330.0,7887.434991706172,5.919521562328464e-07,2.1418525815297764e-06,92113.56500555995,5e-06,0.22558064076279652,8.446861499317078e-08,1.4725178015742448e-07
331.0,7887.434991625548,5.320358156278412e-07,1.9249873849209105e-06,92113.56500591736,5e-06,0.22558064076049067,7.591606429131474e-08,1.3234721781787096e-07
332.0,7887.434991553282,4.783394147913438e-07,1.7305937641557984e-06,92113.56500623771,5e-06,0.22558064075842385,6.824972905783176e-08,1.1898990417695121e-07
333.0,7887.434991488038,4.2985513507720323e-07,1.5550934923846316e-06,92113.56500652694,5e-06,0.2255806407565579,6.13284941343494e-08,1.069291380789063e-07
334.0,7887.43499143125,3.876492760664976e-07,1.4023469338990444e-06,92113.56500677869,5e-06,0.22558064075493373,5.530460138280825e-08,9.643016817574569e-08
335.0,7887.4349913774795,3.476796719442202e-07,1.2577220459793163e-06,92113.56500701707,5e-06,0.2255806407533959,4.9601004374420674e-08,8.648748058313936e-08
336.0,7887.434991329882,3.122913458204533e-07,1.1297074656323876e-06,92113.56500722806,5e-06,0.2255806407520346,4.455247097197747e-08,7.768441438319735e-08
